"PanelFile","ParameterName","Channel","PinNumber","PinDesignation","Type","SimVar_Logic","Notes"
"flight_director.lua","PIN_FD1_LED_VS","F","A4","ARDUINO_MEGA2560_F_A4","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_IAS","F","A2","ARDUINO_MEGA2560_F_A2","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_ALT","F","A3","ARDUINO_MEGA2560_F_A3","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_ILS_1","F","A5","ARDUINO_MEGA2560_F_A5","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_ILS_2","F","A6","ARDUINO_MEGA2560_F_A6","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_NAV_1","F","A7","ARDUINO_MEGA2560_F_A7","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_NAV_2","F","A8","ARDUINO_MEGA2560_F_A8","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_HDG","F","A9","ARDUINO_MEGA2560_F_A9","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_GA","F","A10","ARDUINO_MEGA2560_F_A10","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_VOR_APR_1","F","A11","ARDUINO_MEGA2560_F_A11","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_VOR_APR_2","F","A12","ARDUINO_MEGA2560_F_A12","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_BC_1","F","A13","ARDUINO_MEGA2560_F_A13","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_BC_2","F","A14","ARDUINO_MEGA2560_F_A14","Output (LED)","",""
"flight_director.lua","PIN_FD1_LED_SBY","F","A15","ARDUINO_MEGA2560_F_A15","Output (LED)","",""
"flight_director.lua","PIN_FD2_ALT","F","D25","ARDUINO_MEGA2560_F_D25","Input (Digital)","","ALT"
"flight_director.lua","PIN_FD2_IAS","F","D26","ARDUINO_MEGA2560_F_D26","Input (Digital)","","IAS"
"flight_director.lua","PIN_FD2_VS","F","D27","ARDUINO_MEGA2560_F_D27","Input (Digital)","","VS"
"flight_director.lua","PIN_FD2_HDG","F","D33","ARDUINO_MEGA2560_F_D33","Input (Digital)","","HDG"
"flight_director.lua","PIN_FD2_NAV","F","D34","ARDUINO_MEGA2560_F_D34","Input (Digital)","","NAV"
"flight_director.lua","PIN_FD2_ILS","F","D35","ARDUINO_MEGA2560_F_D35","Input (Digital)","","ILS"
"flight_director.lua","PIN_FD2_BC","F","D42","ARDUINO_MEGA2560_F_D42","Input (Digital)","","BC"
"flight_director.lua","PIN_FD2_VOR_APR","F","D41","ARDUINO_MEGA2560_F_D41","Input (Digital)","","VOR APR"
"flight_director.lua","PIN_FD2_GA","F","D43","ARDUINO_MEGA2560_F_D43","Input (Digital)","","GA (Digital 43)"
"flight_director.lua","PIN_FD2_SBY","F","D45","ARDUINO_MEGA2560_F_D45","Input (Digital)","","SBY (Digital 45)"
"front_panel.lua","PIN_BRG_PTR","A","D38","ARDUINO_MEGA2560_A_D38","Input (Digital)","L:SwBrgPtr","BRG PTR Switch Left"
"front_panel.lua","PIN_BRG_PTR2","A","D10","ARDUINO_MEGA2560_A_D10","Input (Digital)","L:SwBrgPtr","BRG PTR Switch Right"
"front_panel.lua","PIN_FIRE_PULL1","A","D50","ARDUINO_MEGA2560_A_D50","Input (Digital)","L:firethandl","Fire Pull Handle Left"
"front_panel.lua","PIN_FIRE_PULL2","A","D35","ARDUINO_MEGA2560_A_D35","Input (Digital)","L:firethandr","Fire Pull Handle Right"
"front_panel.lua","PIN_FIRE_TEST","A","D51","ARDUINO_MEGA2560_A_D51","Input (Digital)","L:Swfiretest","Fire Detection Test"
"front_panel.lua","PIN_BAG_FIRE_TEST","A","D52","ARDUINO_MEGA2560_A_D52","Input (Digital)","L:firetestbag","Baggage Fire Test"
